
AT-01 [4seat] — 20 legs, 338.1 km, 80 pax carried
   t+  0.0min   CHT -> IKA  ( 38.8 km, 4 pax, SoC after: 79.5%)
   t+ 12.2min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 52.7%)
   t+ 26.7min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 48.9%)
   t+ 33.0min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 45.1%)
   t+ 39.4min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 41.4%)
   t+ 45.7min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 37.6%)
   t+ 52.0min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 33.8%)
   t+ 58.3min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 30.1%)
   t+ 64.7min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 26.3%)
   t+ 71.0min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 22.5%)
   t+ 77.3min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 18.8%)
   t+ 83.7min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 15.0%)
   t+ 90.0min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+103.3min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+112.5min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+125.8min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+134.9min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+148.2min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+157.4min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+170.7min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   charge stops: [(11, 0.0), (12, 4.2), (14, 4.2), (16, 4.2), (18, 4.2)]

AT-02 [4seat] — 20 legs, 543.3 km, 80 pax carried
   t+  0.0min   THR -> IKA  ( 35.4 km, 4 pax, SoC after: 81.3%)
   t+ 11.6min   IKA -> TAJ  ( 50.8 km, 4 pax, SoC after: 54.5%)
   t+ 26.1min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 42.8%)
   t+ 35.2min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+ 45.1min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+ 57.5min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+ 67.4min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
