tail_no,aircraft_class,leg,from,to,distance_km,pax,depart_min,duration_min,soc_after_pct
AT-01,4seat,1,IKA,THR,35.4,4,0.0,6.6,81.3
AT-01,4seat,2,THR,TAJ,15.5,4,11.6,2.9,73.1
AT-01,4seat,3,TAJ,PSD,7.1,4,19.5,1.3,69.3
AT-01,4seat,4,PSD,TAJ,7.1,4,25.8,1.3,65.6
AT-01,4seat,5,TAJ,PSD,7.1,4,32.2,1.3,61.8
AT-01,4seat,6,PSD,TAJ,7.1,4,38.5,1.3,58.0
AT-01,4seat,7,TAJ,PSD,7.1,4,44.8,1.3,54.3
AT-01,4seat,8,PSD,TAJ,7.1,4,51.1,1.3,50.5
AT-01,4seat,9,TAJ,PSD,7.1,4,57.5,1.3,46.7
AT-01,4seat,10,PSD,TAJ,7.1,4,63.8,1.3,43.0
AT-01,4seat,11,TAJ,PSD,7.1,4,70.1,1.3,39.2
AT-01,4seat,12,PSD,TAJ,7.1,4,76.5,1.3,35.4
AT-01,4seat,13,TAJ,CHT,22.1,4,82.8,4.1,26.7
AT-01,4seat,14,CHT,TAJ,22.1,4,92.4,4.1,15.0
AT-01,4seat,15,TAJ,CHT,22.1,4,101.5,4.1,26.7
AT-01,4seat,16,CHT,TAJ,22.1,4,114.9,4.1,15.0
AT-01,4seat,17,TAJ,CHT,22.1,4,124.0,4.1,26.7
AT-01,4seat,18,CHT,TAJ,22.1,4,137.3,4.1,15.0
AT-01,4seat,19,TAJ,CHT,22.1,4,146.4,4.1,26.7
AT-01,4seat,20,CHT,TAJ,22.1,4,159.8,4.1,15.0
AT-01,4seat,21,TAJ,IKA,50.8,0,168.9,9.5,15.0
AT-02,4seat,1,THR,CHT,14.0,4,0.0,2.6,92.6
AT-02,4seat,2,CHT,PSD,26.3,4,7.6,4.9,78.7
AT-02,4seat,3,PSD,CHT,26.3,4,17.5,4.9,64.8
AT-02,4seat,4,CHT,PSD,26.3,4,27.4,4.9,50.9
AT-02,4seat,5,PSD,CHT,26.3,4,37.3,4.9,37.0
AT-02,4seat,6,CHT,TAJ,22.1,4,47.2,4.1,25.3
AT-02,4seat,7,TAJ,THR,15.5,4,56.3,2.9,17.1
AT-02,4seat,8,THR,CHT,14.0,4,64.2,2.6,22.4
AT-02,4seat,9,CHT,THR,14.0,4,74.2,2.6,15.0
AT-02,4seat,10,THR,CHT,14.0,4,81.8,2.6,22.4
AT-02,4seat,11,CHT,THR,14.0,4,92.1,2.6,15.0
AT-02,4seat,12,THR,CHT,14.0,4,99.7,2.6,22.4
AT-02,4seat,13,CHT,THR,14.0,4,110.0,2.6,15.0
AT-02,4seat,14,THR,CHT,14.0,4,117.6,2.6,22.4
AT-02,4seat,15,CHT,THR,14.0,4,127.9,2.6,15.0
AT-02,4seat,16,THR,CHT,14.0,4,135.6,2.6,22.4
AT-02,4seat,17,CHT,THR,14.0,4,145.9,2.6,15.0
AT-02,4seat,18,THR,CHT,14.0,4,153.5,2.6,22.4
AT-02,4seat,19,CHT,THR,14.0,4,163.8,2.6,15.0
AT-02,4seat,20,THR,CHT,14.0,4,171.4,2.6,22.4
AT-02,4seat,21,CHT,THR,14.0,0,181.7,2.6,15.0
AT-03,4seat,1,IKA,THR,35.4,4,0.0,6.6,81.3
AT-03,4seat,2,THR,TAJ,15.5,4,11.6,2.9,73.1
AT-03,4seat,3,TAJ,CHT,22.1,4,19.5,4.1,61.4
AT-03,4seat,4,CHT,PSD,26.3,4,28.6,4.9,47.5
AT-03,4seat,5,PSD,CHT,26.3,4,38.5,4.9,33.6
AT-03,4seat,6,CHT,PSD,26.3,4,48.4,4.9,19.8
AT-03,4seat,7,PSD,CHT,26.3,4,58.3,4.9,28.9
AT-03,4seat,8,CHT,PSD,26.3,4,72.3,4.9,15.0
AT-03,4seat,9,PSD,CHT,26.3,4,82.2,4.9,28.9
AT-03,4seat,10,CHT,PSD,26.3,4,97.1,4.9,15.0
AT-03,4seat,11,PSD,CHT,26.3,4,107.0,4.9,28.9
AT-03,4seat,12,CHT,PSD,26.3,4,121.9,4.9,15.0
AT-03,4seat,13,PSD,CHT,26.3,4,131.8,4.9,28.9
AT-03,4seat,14,CHT,PSD,26.3,4,146.7,4.9,15.0
AT-03,4seat,15,PSD,CHT,26.3,4,156.6,4.9,28.9
AT-03,4seat,16,CHT,PSD,26.3,4,171.5,4.9,15.0
AT-03,4seat,17,PSD,CHT,26.3,4,181.4,4.9,28.9
AT-03,4seat,18,CHT,PSD,26.3,4,196.4,4.9,15.0
AT-03,4seat,19,PSD,CHT,26.3,4,206.3,4.9,35.5
AT-03,4seat,20,CHT,IKA,38.8,0,222.4,7.2,15.0
AT-04,4seat,1,QZV,KRJ,92.7,4,0.0,17.3,51.0
AT-04,4seat,2,KRJ,THR,36.8,4,22.3,6.9,31.6
AT-04,4seat,3,THR,TAJ,15.5,4,34.1,2.9,23.4
AT-04,4seat,4,TAJ,CHT,22.1,4,42.0,4.1,26.7
AT-04,4seat,5,CHT,TAJ,22.1,4,53.8,4.1,15.0
AT-04,4seat,6,TAJ,CHT,22.1,4,63.0,4.1,26.7
AT-04,4seat,7,CHT,TAJ,22.1,4,76.3,4.1,15.0
AT-04,4seat,8,TAJ,CHT,22.1,4,85.4,4.1,26.7
AT-04,4seat,9,CHT,TAJ,22.1,4,98.8,4.1,15.0
AT-04,4seat,10,TAJ,CHT,22.1,4,107.9,4.1,26.7
AT-04,4seat,11,CHT,TAJ,22.1,4,121.2,4.1,15.0
AT-04,4seat,12,TAJ,CHT,22.1,4,130.3,4.1,26.7
AT-04,4seat,13,CHT,TAJ,22.1,4,143.7,4.1,15.0
AT-04,4seat,14,TAJ,THR,15.5,4,152.8,2.9,15.0
AT-04,4seat,15,THR,TAJ,15.5,4,162.2,2.9,15.0
AT-04,4seat,16,TAJ,THR,15.5,4,171.6,2.9,15.0
AT-04,4seat,17,THR,TAJ,15.5,4,181.0,2.9,15.0
AT-04,4seat,18,TAJ,QZV,131.5,0,190.4,24.5,15.0
AT-05,4seat,1,IKA,THR,35.4,4,0.0,6.6,81.3
AT-05,4seat,2,THR,KRJ,36.8,4,11.6,6.9,61.9
AT-05,4seat,3,KRJ,THR,36.8,4,23.4,6.9,42.5
AT-05,4seat,4,THR,KRJ,36.8,4,35.3,6.9,34.4
AT-05,4seat,5,KRJ,THR,36.8,4,49.2,6.9,15.0
AT-05,4seat,6,THR,IKA,35.4,4,61.0,6.6,74.7
AT-05,4seat,7,IKA,CHT,38.8,4,86.7,7.2,54.2
AT-05,4seat,8,CHT,IKA,38.8,4,98.9,7.2,33.7
AT-05,4seat,9,IKA,THR,35.4,4,111.2,6.6,15.0
AT-05,4seat,10,THR,IKA,35.4,4,122.8,6.6,41.8
AT-05,4seat,11,IKA,TAJ,50.8,4,142.6,9.5,15.0
AT-05,4seat,12,TAJ,THR,15.5,4,157.0,2.9,15.0
AT-05,4seat,13,THR,IKA,35.4,4,166.4,6.6,41.8
AT-05,4seat,14,IKA,TAJ,50.8,4,186.2,9.5,15.0
AT-05,4seat,15,TAJ,THR,15.5,4,200.7,2.9,15.0
AT-05,4seat,16,THR,IKA,35.4,4,210.1,6.6,15.0
AT-06,4seat,1,THR,IKA,35.4,4,0.0,6.6,81.3
