
AT-01 [4seat] — 21 legs, 337.5 km, 80 pax carried  [closed-loop, repeats indefinitely]
   t+  0.0min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 88.3%)
   t+  9.1min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 74.4%)
   t+ 19.0min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 70.7%)
   t+ 25.4min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 66.9%)
   t+ 31.7min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 63.1%)
   t+ 38.0min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 59.3%)
   t+ 44.3min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 55.6%)
   t+ 50.7min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 51.8%)
   t+ 57.0min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 48.0%)
   t+ 63.3min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 44.3%)
   t+ 69.7min   PSD -> TAJ  (  7.1 km, 4 pax, SoC after: 40.5%)
   t+ 76.0min   TAJ -> PSD  (  7.1 km, 4 pax, SoC after: 36.7%)
   t+ 82.3min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+ 93.3min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+103.2min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+118.1min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+128.0min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+142.9min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+152.8min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+167.7min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+177.7min   PSD -> TAJ  (  7.1 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(12, 1.1), (14, 5.0), (16, 5.0), (18, 5.0), (20, 0.7)]
   end-of-cycle top-up (resets SoC for the repeat): [(21, 15.3)]

AT-02 [4seat] — 21 legs, 444.0 km, 80 pax carried  [closed-loop, repeats indefinitely]
   t+  0.0min   IKA -> CHT  ( 38.8 km, 4 pax, SoC after: 79.5%)
   t+ 12.2min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 67.8%)
   t+ 21.4min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 56.1%)
   t+ 30.5min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 44.4%)
   t+ 39.6min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 32.7%)
   t+ 48.7min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 21.1%)
   t+ 57.9min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+ 70.1min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+ 79.2min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+ 92.5min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+101.7min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 26.7%)
   t+115.0min   CHT -> TAJ  ( 22.1 km, 4 pax, SoC after: 15.0%)
   t+124.1min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 23.2%)
   t+135.0min   THR -> TAJ  ( 15.5 km, 4 pax, SoC after: 15.0%)
   t+142.9min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 23.2%)
   t+153.8min   THR -> TAJ  ( 15.5 km, 4 pax, SoC after: 15.0%)
   t+161.7min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 23.2%)
   t+172.6min   THR -> TAJ  ( 15.5 km, 4 pax, SoC after: 15.0%)
   t+180.5min   TAJ -> THR  ( 15.5 km, 4 pax, SoC after: 42.9%)
   t+194.9min   THR -> CHT  ( 14.0 km, 4 pax, SoC after: 35.5%)
   t+202.5min   CHT -> IKA  ( 38.8 km, 0 pax, SoC after: 15.0%)
   mid-cycle charge stops: [(6, 3.1), (8, 4.2), (10, 4.2), (12, 3.0), (14, 3.0), (16, 3.0), (18, 6.5)]
   end-of-cycle top-up (resets SoC for the repeat): [(21, 15.3)]

AT-03 [4seat] — 20 legs, 455.1 km, 80 pax carried  [closed-loop, NOT SoC-periodic]
   t+  0.0min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 92.6%)
   t+  7.6min   THR -> TAJ  ( 15.5 km, 4 pax, SoC after: 84.4%)
   t+ 15.5min   TAJ -> CHT  ( 22.1 km, 4 pax, SoC after: 72.7%)
   t+ 24.6min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 58.8%)
   t+ 34.5min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 44.9%)
   t+ 44.4min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 31.0%)
   t+ 54.3min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+ 66.3min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+ 76.2min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+ 91.2min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+101.1min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 28.9%)
   t+116.0min   CHT -> PSD  ( 26.3 km, 4 pax, SoC after: 15.0%)
   t+125.9min   PSD -> CHT  ( 26.3 km, 4 pax, SoC after: 30.6%)
   t+141.1min   CHT -> THR  ( 14.0 km, 4 pax, SoC after: 23.2%)
